,points,province,variety
19696,88,Catalonia,Red Blend
19697,88,Catalonia,Sparkling Blend
19698,88,Northern Spain,Tempranillo Blend
19766,91,Northern Spain,Tinta del Toro
19801,83,Levante,Moscatel
19802,83,Spain Other,Sparkling Blend
19805,83,Catalonia,Sparkling Blend
19883,89,Northern Spain,Tempranillo
19922,89,Levante,Garnacha
19923,89,Northern Spain,Tempranillo
19949,89,Northern Spain,Tinta de Toro
19978,87,Northern Spain,Tempranillo
19979,87,Central Spain,Petit Verdot
19989,87,Spain Other,Red Blend
20005,87,Northern Spain,Tempranillo
20073,87,Northern Spain,Tempranillo
20078,87,Levante,Bobal
20116,88,Catalonia,Sparkling Blend
20132,84,Catalonia,Sparkling Blend
20134,84,Catalonia,Sparkling Blend
20136,84,Catalonia,Sparkling Blend
20140,83,Catalonia,Sparkling Blend
20147,83,Catalonia,Sparkling Blend
20151,83,Catalonia,Sparkling Blend
20153,83,Catalonia,Sparkling Blend
20155,83,Catalonia,Trepat
20319,86,Catalonia,Sparkling Blend
20334,92,Northern Spain,Tempranillo
20335,92,Northern Spain,Tinta de Toro
20418,88,Northern Spain,Tempranillo
20440,88,Northern Spain,Tempranillo Blend
20454,85,Central Spain,Tempranillo
20457,85,Northern Spain,Tempranillo
20511,90,Northern Spain,Tempranillo
20548,92,Northern Spain,Cabernet Sauvignon
20562,91,Northern Spain,Red Blend
20565,91,Catalonia,Sparkling Blend
20567,86,Northern Spain,Tempranillo
20572,86,Northern Spain,Garnacha
20576,86,Northern Spain,Tempranillo-Merlot
20582,86,Northern Spain,White Blend
20846,89,Central Spain,Tempranillo
20849,89,Catalonia,Red Blend
20852,89,Catalonia,Sparkling Blend
20856,89,Levante,Red Blend
20866,86,Levante,Red Blend
20894,88,Northern Spain,Moscatel
21049,87,Central Spain,Tempranillo-Cabernet Sauvignon
21068,87,Northern Spain,Tempranillo Blend
21115,92,Northern Spain,Tempranillo
21130,92,Northern Spain,Tempranillo
21234,89,Northern Spain,Tempranillo
21239,89,Galicia,Albariño
21269,86,Northern Spain,Tempranillo
21286,87,Northern Spain,Tempranillo
21358,86,Catalonia,Macabeo
21363,86,Catalonia,Sparkling Blend
21540,88,Central Spain,Garnacha
21548,88,Northern Spain,Verdejo
21551,88,Northern Spain,White Blend
21554,87,Northern Spain,Tempranillo
21594,91,Northern Spain,Syrah
21623,93,Andalucia,Sherry
21627,93,Andalucia,Pedro Ximénez
21661,88,Catalonia,Red Blend
21680,85,Catalonia,Cabernet Sauvignon
21682,85,Levante,Red Blend
21686,85,Northern Spain,Tempranillo Blend
21690,85,Northern Spain,Viura
21699,85,Levante,Red Blend
21703,85,Catalonia,Garnacha
21704,85,Northern Spain,Tempranillo
21705,85,Catalonia,Cabernet Sauvignon
21741,84,Northern Spain,Mencía
21745,84,Northern Spain,Malvasia
21746,84,Northern Spain,White Blend
21748,84,Northern Spain,Rosado
21759,92,Central Spain,Red Blend
21766,91,Northern Spain,Mencía
21774,82,Central Spain,Tempranillo-Shiraz
21775,82,Galicia,White Blend
21779,82,Catalonia,Xarel-lo
21781,81,Northern Spain,Red Blend
21825,81,Northern Spain,White Blend
21890,92,Northern Spain,Tinto Fino
21997,90,Levante,Petit Verdot
22004,90,Levante,Monastrell
22007,90,Northern Spain,Tempranillo Blend
22086,88,Northern Spain,Tempranillo
22181,87,Central Spain,Tempranillo
22183,87,Andalucia,Sherry
22185,87,Galicia,Albariño
22187,87,Galicia,Albariño
22219,85,Northern Spain,Tempranillo Blend
22250,88,Catalonia,Sparkling Blend
22307,90,Northern Spain,Tempranillo Blend
22318,90,Northern Spain,Tempranillo Blend
22384,88,Northern Spain,Tempranillo
22411,87,Andalucia,Moscatel
22579,86,Northern Spain,White Blend
22582,86,Northern Spain,Red Blend
22598,89,Northern Spain,Tinta Fina
22632,88,Northern Spain,Tempranillo
22651,88,Galicia,Albariño
22793,91,Northern Spain,Tempranillo Blend
22876,88,Galicia,Albariño
22878,88,Galicia,Godello
22879,88,Northern Spain,Tempranillo
22882,88,Northern Spain,Tinto Fino
22883,88,Northern Spain,Tempranillo
22890,88,Northern Spain,Tinta de Toro
22961,86,Catalonia,Sparkling Blend
23004,91,Northern Spain,Tempranillo Blend
23031,88,Levante,Cabernet Sauvignon
23043,88,Catalonia,Sparkling Blend
23175,93,Northern Spain,Tempranillo
23192,93,Northern Spain,Tempranillo Blend
23196,93,Northern Spain,Tempranillo
23291,91,Catalonia,Red Blend
23333,87,Catalonia,Sparkling Blend
23372,92,Northern Spain,Red Blend
23375,92,Northern Spain,Tinta de Toro
23382,92,Northern Spain,Tempranillo
23385,92,Northern Spain,Tempranillo Blend
23441,96,Northern Spain,Tinto Fino
23454,86,Northern Spain,Verdejo
23483,91,Northern Spain,Tempranillo
23495,90,Northern Spain,Tempranillo
23496,90,Northern Spain,Tempranillo
23498,90,Northern Spain,Red Blend
23750,88,Catalonia,Tempranillo
23759,88,Northern Spain,Tempranillo Blend
23762,88,Northern Spain,Godello
23763,88,Catalonia,Tempranillo-Garnacha
23829,88,Catalonia,Sparkling Blend
23863,90,Northern Spain,Tempranillo Blend
23870,90,Northern Spain,White Blend
23913,82,Spain Other,Garnacha
23934,82,Central Spain,Tempranillo-Garnacha
23997,92,Catalonia,Red Blend
24010,92,Northern Spain,Red Blend
24108,85,Northern Spain,Red Blend
24117,85,Northern Spain,Viura
24133,92,Northern Spain,Mencía
24135,92,Northern Spain,Tinta de Toro
24136,92,Northern Spain,Tinto del Pais
24137,92,Northern Spain,Tempranillo
24151,92,Northern Spain,Tempranillo
24186,88,Spanish Islands,Red Blend
24201,87,Northern Spain,Petit Verdot
24226,90,Northern Spain,Tinta de Toro
24230,90,Catalonia,Red Blend
24261,87,Catalonia,Red Blend
24262,87,Northern Spain,Tempranillo Blend
24264,87,Catalonia,Sparkling Blend
24278,87,Catalonia,Sparkling Blend
24452,92,Northern Spain,Tempranillo
24454,92,Catalonia,Red Blend
24512,91,Northern Spain,Tempranillo Blend
24513,91,Andalucia,Palomino
24580,91,Northern Spain,Tempranillo
24663,88,Catalonia,Sauvignon Blanc
24679,85,Northern Spain,Grenache
24696,85,Northern Spain,Tempranillo
24701,85,Northern Spain,Verdejo-Viura
24852,87,Northern Spain,Sauvignon Blanc
24853,87,Northern Spain,Verdejo
24869,87,Northern Spain,Tempranillo-Garnacha
24871,87,Galicia,Albariño
24901,87,Northern Spain,Tempranillo-Garnacha
24902,87,Catalonia,Grenache-Carignan
24903,87,Galicia,Albariño
24910,87,Northern Spain,Verdejo
24975,87,Catalonia,Sparkling Blend
25040,88,Catalonia,Red Blend
25044,88,Catalonia,Sparkling Blend
25102,87,Northern Spain,Tempranillo
25118,86,Central Spain,White Blend
25119,86,Northern Spain,Garnacha
25128,86,Northern Spain,Tempranillo
25152,88,Northern Spain,Tempranillo
25154,88,Northern Spain,Tempranillo
25155,88,Northern Spain,Tinta de Toro
25159,88,Northern Spain,Tinta de Toro
25213,92,Northern Spain,Tinto Fino
25248,87,Northern Spain,Tinta de Toro
25260,87,Northern Spain,Garnacha
25263,87,Levante,Monastrell
25268,87,Northern Spain,Tempranillo
25279,86,Northern Spain,Tempranillo
25283,86,Northern Spain,Garnacha
25289,86,Galicia,Albariño
25361,87,Northern Spain,Tempranillo
25425,90,Northern Spain,Tempranillo Blend
25436,91,Northern Spain,Tinta de Toro
25439,91,Northern Spain,Tempranillo
25449,91,Northern Spain,Viura
25527,86,Central Spain,Tempranillo
25532,85,Northern Spain,Tinta de Toro
25536,85,Northern Spain,Tempranillo Blend
25640,90,Andalucia,Sherry
25652,84,Northern Spain,Rosé
25655,84,Northern Spain,Tempranillo
25658,84,Catalonia,Sparkling Blend
25659,84,Catalonia,White Blend
25662,84,Northern Spain,Garnacha
25668,84,Northern Spain,Tempranillo
25671,84,Spain Other,Moscato
25676,84,Northern Spain,Verdejo
25677,84,Catalonia,Xarel-lo
25683,88,Andalucia,Sherry
25722,84,Northern Spain,Viura
25724,84,Catalonia,Sparkling Blend
25726,84,Central Spain,Sparkling Blend
25859,88,Catalonia,Red Blend
25860,88,Catalonia,Red Blend
25861,88,Northern Spain,Tempranillo
25957,93,Northern Spain,Tinto Fino
25966,92,Northern Spain,Tinto Fino
25967,92,Northern Spain,Tempranillo Blend
25976,92,Levante,Red Blend
26007,91,Andalucia,Moscatel
26028,86,Northern Spain,Tempranillo
26050,84,Catalonia,Sparkling Blend
26135,89,Central Spain,Tempranillo Blend
26136,89,Northern Spain,Tempranillo
26141,89,Northern Spain,Tempranillo Blend
26294,87,Northern Spain,Tempranillo
26307,87,Central Spain,Tempranillo-Cabernet Sauvignon
26309,87,Catalonia,Red Blend
26316,87,Catalonia,Sparkling Blend
26380,93,Catalonia,Red Blend
26385,93,Andalucia,Moscatel
26396,92,Catalonia,Red Blend
26397,92,Northern Spain,Mencía
26516,93,Northern Spain,Tempranillo
26532,93,Catalonia,Grenache-Carignan
26639,91,Catalonia,Sparkling Blend
26646,91,Catalonia,Red Blend
26721,88,Catalonia,Chardonnay
26722,88,Northern Spain,Mencía
26723,88,Northern Spain,Mencía
26837,87,Central Spain,Tempranillo
27164,89,Levante,Red Blend
27184,90,Northern Spain,Verdejo
27238,90,Northern Spain,Garnacha
27250,90,Northern Spain,Tempranillo
27292,88,Central Spain,Tempranillo-Shiraz
27293,88,Catalonia,Red Blend
27294,88,Northern Spain,Tinta de Toro
27300,88,Catalonia,Sparkling Blend
27301,88,Northern Spain,Graciano
27305,88,Andalucia,Moscatel
27309,88,Northern Spain,Tempranillo
27370,85,Northern Spain,Tempranillo-Garnacha
27379,86,Northern Spain,Rosé
27407,86,Catalonia,Sparkling Blend
27513,89,Catalonia,Sparkling Blend
27518,89,Northern Spain,Tempranillo-Cabernet Sauvignon
27522,88,Northern Spain,Tempranillo
27523,88,Northern Spain,Tempranillo
27528,88,Levante,Cabernet Blend
27534,88,Catalonia,Sauvignon Blanc
27537,88,Northern Spain,Tinta de Toro
27539,88,Spain Other,Moscatel
27540,87,Northern Spain,Tempranillo
27541,87,Northern Spain,Merlot
27542,87,Northern Spain,Tempranillo
27543,87,Central Spain,Petit Verdot
27548,87,Northern Spain,Verdejo
27655,90,Northern Spain,Tempranillo
27658,90,Galicia,Albariño
27671,86,Northern Spain,Tempranillo
27695,88,Catalonia,White Blend
27697,88,Northern Spain,Tempranillo Blend
27749,85,Levante,Monastrell
27886,89,Catalonia,Sparkling Blend
27890,89,Catalonia,Sparkling Blend
27900,89,Northern Spain,Tempranillo
27901,88,Northern Spain,Tempranillo
27902,88,Northern Spain,Red Blend
27927,85,Northern Spain,Rosé
27930,85,Galicia,Albariño
27952,85,Northern Spain,Red Blend
28054,90,Levante,Monastrell-Syrah
28067,90,Northern Spain,Tinto Fino
28097,94,Northern Spain,Tempranillo
28113,91,Northern Spain,Tempranillo Blend
28144,90,Northern Spain,Tempranillo Blend
28151,90,Northern Spain,Tempranillo Blend
28259,87,Levante,Monastrell
28262,87,Northern Spain,Tempranillo
28266,87,Northern Spain,Rosé
28280,87,Levante,Monastrell
28285,86,Northern Spain,Red Blend
28295,86,Catalonia,Sparkling Blend
28299,86,Northern Spain,Rosé
28443,83,Northern Spain,Godello
28445,83,Northern Spain,Tempranillo
28448,83,Central Spain,Tempranillo-Garnacha
28510,87,Northern Spain,Tempranillo Blend
28554,82,Levante,Tempranillo
28562,81,Catalonia,Red Blend
28563,80,Northern Spain,Garnacha
28567,80,Catalonia,Sparkling Blend
28568,80,Levante,Red Blend
28744,84,Levante,Monastrell-Syrah
28746,84,Northern Spain,Red Blend
28762,91,Northern Spain,Garnacha
28908,83,Catalonia,Sparkling Blend
28909,83,Central Spain,Tempranillo Blend
28913,83,Northern Spain,Tempranillo Blend
28920,83,Northern Spain,Tempranillo Blanco
28926,82,Northern Spain,Tempranillo-Garnacha
28928,90,Northern Spain,Garnacha
28947,90,Northern Spain,Tempranillo
28959,86,Northern Spain,Tempranillo
28966,86,Northern Spain,White Blend
28978,86,Galicia,Albariño
28993,84,Levante,Sparkling Blend
29006,84,Catalonia,Sparkling Blend
29066,86,Northern Spain,Tempranillo Blend
29067,86,Central Spain,Tempranillo
29069,86,Northern Spain,Tempranillo
29070,86,Catalonia,Red Blend
29072,86,Northern Spain,Garnacha
29073,86,Northern Spain,Rosé
29130,89,Northern Spain,Tempranillo Blend
29147,92,Levante,Red Blend
29148,92,Andalucia,Moscatel
29157,92,Northern Spain,Verdejo
29172,85,Central Spain,Tempranillo
29183,85,Central Spain,Tempranillo
29204,91,Catalonia,Red Blend
29214,91,Northern Spain,Tempranillo
29223,92,Andalucia,Sherry
29237,92,Catalonia,Red Blend
29241,92,Catalonia,Red Blend
29242,92,Catalonia,Red Blend
29246,91,Catalonia,Red Blend
29304,89,Catalonia,White Blend
29350,87,Catalonia,Sparkling Blend
29403,88,Andalucia,Muscat
29411,88,Northern Spain,Tempranillo
29416,88,Northern Spain,Tempranillo Blend
29432,85,Northern Spain,Verdejo
29433,85,Northern Spain,White Blend
29561,84,Northern Spain,Sauvignon
29620,86,Galicia,Albariño
29625,86,Northern Spain,Tempranillo
29628,88,Northern Spain,Tempranillo Blend
29629,88,Northern Spain,Tempranillo Blend
29638,88,Central Spain,Red Blend
29651,88,Northern Spain,Tempranillo Blend
29656,88,Levante,Monastrell
29698,88,Levante,Garnacha Tintorera
29745,84,Catalonia,Sparkling Blend
29758,83,Catalonia,Sparkling Blend
29834,88,Northern Spain,Tempranillo
29842,88,Catalonia,Sparkling Blend
29923,86,Catalonia,Grenache Blanc
29950,93,Northern Spain,Tempranillo
29954,93,Catalonia,Macabeo
30062,85,Northern Spain,Tempranillo
30063,85,Northern Spain,Prieto Picudo
30075,85,Catalonia,Red Blend
30076,85,Northern Spain,Tempranillo
30078,85,Spain Other,Cabernet Sauvignon
30081,87,Northern Spain,White Blend
30098,86,Galicia,Albariño
30186,92,Northern Spain,Tinto Fino
30229,86,Northern Spain,Red Blend
30295,87,Northern Spain,Tempranillo
30318,85,Northern Spain,Tempranillo
30564,88,Central Spain,Tempranillo-Shiraz
30565,88,Catalonia,Red Blend
30566,88,Northern Spain,Tinta de Toro
30569,88,Northern Spain,Graciano
30580,88,Catalonia,Sparkling Blend
30684,85,Northern Spain,Viura
30696,85,Northern Spain,Tempranillo
30697,85,Northern Spain,Godello
30703,85,Northern Spain,Tempranillo Blend
30704,89,Northern Spain,Viura
30715,88,Catalonia,Red Blend
30763,86,Northern Spain,Mencía
30778,86,Northern Spain,Mencía
30873,82,Northern Spain,Verdejo
30874,82,Catalonia,Sparkling Blend
30875,82,Galicia,Albariño
30877,82,Central Spain,Red Blend
30880,82,Northern Spain,Red Blend
30882,82,Galicia,Albariño
30884,82,Central Spain,Tempranillo
30893,82,Northern Spain,Garnacha
30894,82,Northern Spain,Viura
30895,82,Northern Spain,Garnacha Blanca
30898,82,Northern Spain,Garnacha
30921,91,Northern Spain,Tempranillo
30965,87,Catalonia,Cabernet Sauvignon
30981,87,Catalonia,Syrah
31051,90,Northern Spain,Tempranillo Blend
31053,90,Northern Spain,Mencía
31087,86,Northern Spain,Tempranillo
31091,86,Northern Spain,Tempranillo
31093,86,Northern Spain,Tempranillo
31094,86,Central Spain,Tempranillo-Cabernet Sauvignon
31097,86,Galicia,Albariño
31178,90,Levante,Monastrell
31183,90,Levante,Red Blend
31357,92,Northern Spain,Tempranillo
31495,89,Northern Spain,Tempranillo Blend
31497,89,Northern Spain,Tempranillo Blend
31502,89,Central Spain,Tempranillo
31503,89,Northern Spain,Tempranillo Blend
31681,82,Northern Spain,Rosé
31693,81,Central Spain,Syrah
31694,81,Northern Spain,Rosé
31698,88,Northern Spain,Tinta de Toro
31705,88,Northern Spain,Tempranillo
31710,88,Northern Spain,Tempranillo
31715,88,Northern Spain,Red Blend
31730,87,Central Spain,Red Blend
31731,87,Catalonia,Sparkling Blend
31796,87,Northern Spain,Godello
31800,87,Northern Spain,Mencía
31806,86,Northern Spain,Tempranillo Blend
31807,86,Northern Spain,Tempranillo Blend
31851,86,Northern Spain,Tempranillo
31864,86,Northern Spain,Tempranillo
31865,86,Northern Spain,Tempranillo
31869,87,Northern Spain,Tempranillo
31964,93,Northern Spain,Tinta de Toro
31999,95,Northern Spain,Tempranillo
32004,94,Northern Spain,Tempranillo
32066,88,Northern Spain,Garnacha
32076,88,Catalonia,Red Blend
32084,89,Northern Spain,Garnacha
32109,89,Catalonia,Garnacha
32117,88,Andalucia,Sherry
32165,86,Catalonia,Sparkling Blend
32231,85,Northern Spain,Garnacha
32235,84,Galicia,Doña Blanca
32296,88,Central Spain,Syrah
32302,88,Spanish Islands,Red Blend
32308,88,Catalonia,Red Blend
32309,88,Northern Spain,Red Blend
32310,88,Central Spain,Cabernet Sauvignon
32346,89,Northern Spain,Red Blend
32463,90,Catalonia,Red Blend
32490,92,Central Spain,Red Blend
32515,84,Central Spain,Sauvignon Blanc
32523,84,Central Spain,Tempranillo-Cabernet Sauvignon
32532,84,Northern Spain,Tempranillo
32533,84,Northern Spain,Tempranillo-Shiraz
32535,84,Northern Spain,White Blend
32564,86,Northern Spain,Tempranillo
32613,87,Northern Spain,Garnacha Blanca
32616,87,Catalonia,Garnacha Blanca
32622,87,Central Spain,Tempranillo
32627,87,Northern Spain,Tempranillo Blend
32628,87,Northern Spain,Grenache
32629,87,Levante,Red Blend
32642,87,Andalucia,Palomino
32729,90,Catalonia,Sparkling Blend
32740,90,Catalonia,Red Blend
32766,84,Central Spain,Verdejo
32781,84,Central Spain,Tempranillo
32832,87,Northern Spain,Tempranillo Blend
32865,89,Northern Spain,Verdejo
32911,89,Catalonia,Red Blend
32914,88,Northern Spain,Tempranillo
32915,88,Northern Spain,Tempranillo Blend
32923,88,Northern Spain,Cabernet Sauvignon
32924,88,Catalonia,Sparkling Blend
32931,88,Northern Spain,Rosé
32934,88,Northern Spain,Tempranillo Blend
32935,88,Northern Spain,Tempranillo Blend
32937,87,Northern Spain,Graciano
32948,87,Northern Spain,Tempranillo
32973,90,Central Spain,Tempranillo
32982,90,Northern Spain,Tempranillo
32985,90,Northern Spain,Tempranillo Blend
33005,85,Northern Spain,Tempranillo
33074,88,Northern Spain,Tempranillo
33082,88,Catalonia,Sparkling Blend
33093,88,Central Spain,Petite Verdot
33123,84,Spain Other,Monastrell
33154,85,Catalonia,Tempranillo-Cabernet Sauvignon
33155,85,Northern Spain,Tempranillo
33182,87,Northern Spain,Tempranillo-Cabernet Sauvignon
33204,90,Northern Spain,Tinto Fino
33206,90,Levante,Red Blend
33228,85,Northern Spain,Tempranillo
33234,85,Northern Spain,Graciano
33254,92,Northern Spain,Mencía
33265,92,Catalonia,Red Blend
33283,87,Northern Spain,Red Blend
33309,85,Central Spain,Tempranillo
33313,84,Catalonia,Garnacha
33314,84,Northern Spain,Tempranillo
33320,84,Catalonia,Red Blend
33324,84,Northern Spain,Tempranillo
33327,84,Northern Spain,Tempranillo Blend
33334,84,Levante,Monastrell
33336,84,Northern Spain,Tempranillo
33337,84,Northern Spain,Tempranillo
33340,84,Galicia,Albariño
33381,81,Levante,Tempranillo
33382,81,Galicia,Albariño
33385,97,Northern Spain,Tinto Fino
33408,94,Northern Spain,Tempranillo
33510,86,Catalonia,Sparkling Blend
33545,92,Northern Spain,Tempranillo
33568,88,Catalonia,Sparkling Blend
33577,88,Andalucia,Sherry
33615,91,Northern Spain,Red Blend
33657,89,Catalonia,Sparkling Blend
33674,90,Northern Spain,Tempranillo
33676,90,Northern Spain,Cabernet Sauvignon
33727,86,Northern Spain,Godello
33743,86,Northern Spain,Verdejo
33745,86,Catalonia,White Blend
33750,86,Catalonia,Garnacha Blanca
33763,90,Catalonia,Sparkling Blend
33783,90,Northern Spain,Tempranillo
33784,90,Northern Spain,Tempranillo
33795,93,Andalucia,Sherry
33810,93,Northern Spain,Tempranillo Blend
33838,80,Northern Spain,Tinta de Toro
33886,86,Levante,Red Blend
33942,86,Northern Spain,Mencía
33954,88,Northern Spain,Red Blend
33969,88,Catalonia,Red Blend
33997,91,Catalonia,Red Blend
34008,91,Northern Spain,Tempranillo Blend
34011,91,Northern Spain,Tinta de Toro
34018,91,Northern Spain,Tinta de Toro
34033,87,Northern Spain,Garnacha
34040,87,Northern Spain,Garnacha
34047,87,Galicia,Albariño
34095,93,Northern Spain,Tempranillo Blend
34101,93,Northern Spain,Tinta de Toro
34102,93,Northern Spain,Tempranillo
34262,94,Catalonia,Carignan
34265,94,Northern Spain,Tempranillo Blend
34335,84,Catalonia,Sparkling Blend
34363,88,Galicia,Albariño
34372,88,Catalonia,Sparkling Blend
34409,91,Central Spain,Tempranillo
34558,92,Northern Spain,Tempranillo
34564,92,Catalonia,Red Blend
34568,89,Galicia,Albariño
34570,89,Spanish Islands,Red Blend
34571,89,Northern Spain,Red Blend
34638,91,Northern Spain,Tempranillo Blend
34646,94,Catalonia,Red Blend
34647,94,Catalonia,Red Blend
34673,92,Andalucia,Moscatel
34758,86,Northern Spain,Garnacha
34787,85,Galicia,Albariño
34791,85,Levante,Monastrell
34794,85,Catalonia,Sparkling Blend
34800,85,Central Spain,Red Blend
34801,85,Levante,Monastrell
34805,85,Northern Spain,Tempranillo Blend
34806,85,Northern Spain,Tempranillo
34807,84,Central Spain,Tempranillo
34810,84,Northern Spain,Verdejo
34816,84,Central Spain,Verdejo-Sauvignon Blanc
34822,89,Northern Spain,Tempranillo
34958,83,Central Spain,Tempranillo
34974,82,Northern Spain,Tempranillo
34975,82,Catalonia,White Blend
34984,92,Northern Spain,Tempranillo
35000,92,Northern Spain,Tempranillo
35017,92,Levante,Red Blend
35042,86,Northern Spain,White Blend
35053,86,Northern Spain,Tempranillo Blend
35069,83,Northern Spain,Tinto Fino
35070,83,Northern Spain,Viura
35122,91,Northern Spain,Tempranillo-Cabernet Sauvignon
35291,84,Northern Spain,Tempranillo Blend
35292,84,Catalonia,Xarel-lo
35300,84,Catalonia,White Blend
35302,83,Catalonia,Xarel-lo
35307,85,Levante,Red Blend
35346,92,Northern Spain,Tempranillo
35396,92,Northern Spain,Tinta de Toro
35473,90,Central Spain,Cabernet Sauvignon-Syrah
35486,90,Levante,Monastrell
35526,87,Catalonia,Sparkling Blend
35556,91,Northern Spain,Tempranillo
35558,91,Northern Spain,Tinta de Toro
35602,91,Northern Spain,Graciano
35699,90,Catalonia,Sparkling Blend
35764,86,Northern Spain,Tempranillo
35767,86,Central Spain,Tempranillo
35778,90,Levante,Red Blend
35885,87,Northern Spain,Rosé
35913,91,Northern Spain,Tempranillo
35936,91,Spanish Islands,Petit Verdot
35938,91,Andalucia,Sherry
35951,94,Northern Spain,Tempranillo Blend
35970,93,Northern Spain,Tempranillo
36032,86,Northern Spain,Tempranillo Blend
36036,86,Northern Spain,Tempranillo
36121,89,Northern Spain,Garnacha
36170,88,Northern Spain,Red Blend
36231,92,Catalonia,Red Blend
36376,88,Catalonia,Red Blend
36379,88,Northern Spain,Cabernet Sauvignon
36381,88,Catalonia,Red Blend
36395,87,Central Spain,Rosé
36421,87,Northern Spain,Tempranillo
36488,95,Northern Spain,Tempranillo Blend
36490,94,Northern Spain,Tempranillo Blend
36539,85,Northern Spain,Tempranillo Blend
36560,90,Catalonia,Red Blend
36575,90,Catalonia,Sparkling Blend
36594,92,Northern Spain,Tempranillo
36612,92,Catalonia,Red Blend
36625,91,Northern Spain,Tinta de Toro
36645,93,Northern Spain,Tempranillo
36647,92,Northern Spain,Tinto Fino
36654,92,Northern Spain,Syrah
36708,84,Northern Spain,White Blend
36709,84,Northern Spain,Tempranillo Blend
36710,84,Northern Spain,Tempranillo Blend
36749,85,Catalonia,Sparkling Blend
36751,85,Northern Spain,Garnacha
36765,86,Northern Spain,Verdejo
36780,86,Northern Spain,Tempranillo
36785,86,Catalonia,White Blend
36823,89,Levante,Red Blend
36846,86,Central Spain,White Blend
37047,85,Northern Spain,Tinto Fino
37052,85,Northern Spain,Tempranillo
37053,85,Catalonia,Tempranillo-Cabernet Sauvignon
37057,85,Levante,Shiraz-Cabernet Sauvignon
37067,88,Northern Spain,Tempranillo
37072,88,Northern Spain,Cabernet Sauvignon-Merlot
37139,91,Northern Spain,Tinta de Toro
37172,91,Levante,Syrah
37192,88,Northern Spain,Tempranillo Blend
37197,88,Northern Spain,Tempranillo Blend
37278,91,Northern Spain,Tempranillo
37330,90,Levante,Red Blend
37418,90,Northern Spain,Tinta Fina
37473,86,Levante,Monastrell
37504,93,Catalonia,Red Blend
37505,93,Northern Spain,Tinta de Toro
37560,88,Northern Spain,Tempranillo Blend
37561,88,Northern Spain,Tempranillo Blend
37599,87,Catalonia,Sparkling Blend
37600,87,Catalonia,Sparkling Blend
37643,87,Northern Spain,Tempranillo
37644,87,Northern Spain,Red Blend
37699,85,Northern Spain,Verdejo-Viura
37704,85,Catalonia,Garnacha
37713,85,Catalonia,Red Blend
37715,85,Galicia,Albariño
37718,85,Catalonia,Macabeo-Chardonnay
37719,85,Northern Spain,Rosé
37728,93,Northern Spain,Tempranillo-Cabernet Sauvignon
37753,87,Northern Spain,Verdejo
37757,87,Northern Spain,Garnacha
37760,87,Spanish Islands,Red Blend
37846,89,Northern Spain,Tempranillo Blend
37850,89,Northern Spain,Tempranillo
38011,87,Northern Spain,Red Blend
38022,87,Northern Spain,Tempranillo
38058,90,Andalucia,Sherry
38079,89,Andalucia,Sherry
38115,90,Northern Spain,Red Blend
38117,90,Catalonia,Red Blend
38162,91,Northern Spain,Tempranillo
38185,87,Northern Spain,Garnacha
38252,89,Northern Spain,Tempranillo
38283,90,Northern Spain,Garnacha
38286,90,Galicia,Albariño
38376,90,Northern Spain,Tempranillo
38465,85,Andalucia,Moscatel
38557,89,Catalonia,White Blend
38592,86,Northern Spain,Tempranillo Blend
38600,88,Northern Spain,Tempranillo Blend
38604,88,Catalonia,Sparkling Blend
38605,88,Galicia,Albariño
38610,88,Northern Spain,Tempranillo
38617,88,Northern Spain,Tempranillo
38620,84,Catalonia,Grenache
38625,84,Northern Spain,Tempranillo
38712,83,Catalonia,Chardonnay
38719,83,Central Spain,White Blend
38755,91,Northern Spain,Tinta de Toro
38762,91,Northern Spain,Tinta de Toro
38763,91,Northern Spain,Bordeaux-style Red Blend
38782,89,Levante,Red Blend
38872,87,Northern Spain,Verdejo
38880,86,Northern Spain,Grenache
38884,86,Northern Spain,Grenache-Syrah
38910,89,Andalucia,Sherry
38916,89,Levante,Monastrell
38969,81,Northern Spain,Tempranillo Blend
38975,80,Central Spain,Verdejo
39030,87,Catalonia,Garnacha Blanca
39088,91,Northern Spain,Tempranillo
39105,91,Northern Spain,Tempranillo
39120,89,Northern Spain,Tempranillo Blend
39145,89,Levante,Cabernet Sauvignon-Cabernet Franc
39173,88,Northern Spain,Tempranillo
39204,88,Andalucia,Sherry
39269,91,Catalonia,Chardonnay
39325,94,Central Spain,Red Blend
39356,87,Catalonia,Sparkling Blend
39411,92,Catalonia,Red Blend
39454,93,Catalonia,Red Blend
39460,93,Catalonia,Red Blend
39470,91,Levante,Monastrell
39474,91,Northern Spain,Tempranillo
39483,90,Catalonia,Sparkling Blend
39484,90,Northern Spain,Tempranillo Blend
39511,88,Northern Spain,Tempranillo Blend
39519,87,Catalonia,Sparkling Blend
39521,87,Catalonia,Sparkling Blend
39524,87,Northern Spain,Tempranillo
39525,87,Northern Spain,Tempranillo
39534,87,Northern Spain,Tempranillo
39545,87,Galicia,Albariño
39625,92,Northern Spain,Tempranillo
39694,87,Central Spain,Red Blend
39708,87,Northern Spain,Tempranillo
39750,88,Northern Spain,Tempranillo Blend
39751,88,Northern Spain,Tempranillo
39789,87,Northern Spain,Rosé
39796,87,Northern Spain,Red Blend
39804,87,Northern Spain,Tempranillo
39888,87,Northern Spain,Godello
39897,87,Catalonia,Sparkling Blend
